Lower score = closer outer border to base floor family
sheet col row score ring breakage center
v4 0 0 0.22 0.0 0.8 7.13
v4 1 0 0.41 0.0 1.46 8.67
v7 1 1 0.69 0.0 2.47 0.86
v4 3 0 1.51 0.0 5.41 25.93
v7 0 0 17.87 0.0 63.83 0.81
v7 1 0 19.28 0.0 68.87 8.64
v8 1 0 27.87 37.95 1.94 8.73
v4 4 0 30.73 41.72 2.48 9.01
v4 0 1 33.32 45.35 2.37 13.9
v4 3 1 35.52 48.48 2.21 26.54
v5 0 1 43.48 59.42 2.5 26.65
v4 1 1 46.22 62.46 4.46 18.53
v7 2 1 50.04 60.3 23.68 37.15
v7 3 1 50.72 54.7 40.48 29.78
v5 3 1 51.48 65.4 15.69 43.34
v4 2 1 52.18 71.75 1.86 40.93
v5 4 0 52.45 64.46 21.57 30.9
v5 4 1 55.23 76.23 1.24 34.82
v4 4 1 55.8 74.09 8.78 11.19
v8 1 2 60.38 72.77 28.53 24.75
v7 2 0 60.96 71.09 34.93 20.73
v5 2 0 62.59 83.69 8.34 12.65
v5 1 1 63.81 87.02 4.11 21.17
v6 1 2 64.98 84.79 14.05 24.08
v6 3 1 65.48 82.63 21.41 24.88
v8 1 1 67.65 84.7 23.82 35.93
v6 2 0 68.21 93.6 2.93 24.17
v5 0 2 69.05 73.31 58.09 29.58
v4 5 1 70.44 93.5 11.15 6.71
v2 3 2 71.11 95.97 7.16 20.1
v2 4 2 71.36 96.32 7.16 20.08
v7 4 1 71.59 73.89 65.69 25.0
v2 2 2 73.88 99.83 7.15 29.24
v5 2 2 73.91 90.0 32.52 40.99
v3 0 0 74.27 102.53 1.61 30.79
v4 4 2 74.71 97.21 16.87 18.72
v4 5 0 75.75 100.6 11.83 10.14
v1 2 2 77.66 105.33 6.51 22.38
v1 3 2 77.72 105.25 6.92 22.83
v7 3 0 80.63 81.09 79.46 1.59
v8 0 2 80.93 111.0 3.61 29.66
v5 5 0 81.03 72.65 102.59 28.59
v6 4 0 82.17 101.83 31.61 26.99
v8 2 2 83.02 78.56 94.5 31.33
v3 5 2 83.65 113.17 7.75 31.1
v4 2 0 85.07 98.1 51.55 1.07
v4 3 2 86.5 103.01 44.03 11.69
v6 0 0 87.18 95.92 64.7 33.94
v6 2 2 87.62 101.55 51.79 28.05
v6 2 1 88.27 111.36 28.89 35.36
v6 0 1 90.06 123.32 4.54 28.31
v2 1 2 90.31 111.76 35.15 25.84
v7 2 2 93.66 111.07 48.88 31.65
v2 5 0 94.7 116.34 39.06 13.96
v3 2 1 95.39 130.63 4.77 45.63
v6 5 0 96.51 88.52 117.05 19.82
v2 4 0 96.76 130.88 9.04 13.09
v7 4 2 97.14 78.63 144.73 22.53
v1 5 0 97.15 114.34 52.93 25.04
v6 0 2 98.41 125.07 29.83 20.52
v5 3 0 98.73 101.57 91.42 42.12
v3 1 0 98.75 121.72 39.7 36.95
v6 4 2 98.78 92.0 116.22 24.59
v3 3 0 99.68 131.62 17.57 19.0
v6 4 1 99.91 93.38 116.7 25.71
v5 3 2 101.27 98.74 107.78 16.34
v6 3 0 102.56 107.48 89.89 34.98
v2 2 1 102.72 126.03 42.78 11.47
v6 5 1 102.83 98.64 113.59 38.63
v5 4 2 102.95 98.58 114.17 44.32
v3 0 2 103.32 121.66 56.15 37.05
v3 3 2 105.35 144.16 5.55 33.61
v8 3 1 106.07 86.59 156.17 37.09
v8 3 0 106.46 91.77 144.24 24.7
v3 2 2 107.94 140.52 24.15 34.82
v1 0 0 108.55 145.54 13.45 4.4
v3 4 2 109.81 147.47 12.99 30.52
v8 4 1 110.65 92.13 158.29 23.31
v2 0 2 110.87 125.0 74.54 42.5
v8 5 1 111.13 84.06 180.74 29.85
v4 0 2 111.25 122.63 81.99 2.06
v3 1 2 113.3 142.86 37.3 42.65
v5 1 2 114.52 112.26 120.32 10.7
v2 0 1 114.97 135.73 61.57 18.87
v2 1 1 115.25 129.55 78.48 26.07
v1 1 0 117.52 146.36 43.36 13.99
v7 5 1 118.92 94.18 182.55 36.67
v8 0 1 119.09 118.01 121.87 30.91
v1 2 0 119.43 149.33 42.55 13.99
v4 1 2 119.51 129.41 94.04 50.57
v4 2 2 120.64 131.43 92.88 49.36
v3 1 1 120.71 138.72 74.4 38.94
v7 0 2 121.43 112.61 144.09 0.69
v7 3 2 123.6 97.92 189.64 32.49
v8 2 0 124.08 111.97 155.23 32.2
v6 1 1 127.03 117.89 150.54 38.5
v5 5 1 128.71 107.11 184.27 19.6
v8 0 0 129.27 124.45 141.69 16.33
v6 3 2 129.79 111.33 177.24 1.54
v3 3 1 129.8 142.74 96.52 48.55
v7 5 2 130.23 88.5 237.53 16.3
v3 5 0 130.86 129.37 134.68 41.62
v8 5 2 134.76 109.14 200.63 31.02
v3 0 1 135.24 145.12 109.84 43.22
v7 1 2 135.94 115.51 188.46 0.59
v1 3 0 136.87 147.61 109.27 21.02
v7 0 1 137.76 131.43 154.05 34.73
v5 1 0 142.45 123.66 190.76 32.18
v3 4 1 143.27 147.47 132.47 37.31
v6 1 0 143.55 128.05 183.4 31.59
v3 4 0 144.45 145.08 142.83 42.43
v6 5 2 145.73 134.09 175.66 22.51
v3 2 0 149.97 128.19 205.97 12.02
v2 5 2 150.09 136.71 184.51 1.08
v5 0 0 153.48 137.31 195.04 22.29
v8 2 1 157.52 121.71 249.61 31.52
v8 4 2 158.21 125.23 243.03 34.83
v8 4 0 160.96 122.05 260.99 22.67
v5 2 1 163.02 128.27 252.36 39.67
v1 0 2 164.61 169.53 151.97 11.86
v8 3 2 166.32 123.1 277.46 22.29
v7 4 0 167.23 114.81 302.03 13.99
v8 5 0 170.15 121.52 295.21 9.38
v1 5 1 173.08 139.17 260.3 12.39
v1 0 1 173.22 140.14 258.3 9.65
v2 4 1 176.75 175.47 180.06 23.85
v3 5 1 184.07 174.85 207.8 49.97
v5 5 2 185.54 128.57 332.02 23.38
v1 2 1 187.29 171.88 226.9 4.07
v1 1 2 197.21 183.56 232.31 0.83
v4 5 2 197.37 170.0 267.73 53.73
v2 5 1 204.16 185.25 252.78 10.07
v7 5 0 206.62 125.75 414.56 13.69
v1 4 0 206.76 174.99 288.43 4.26
v2 3 0 241.94 188.89 378.37 15.55
v2 0 0 244.58 189.41 386.45 15.92
v1 4 1 248.7 179.24 427.31 6.93
v1 1 1 258.24 181.69 455.07 6.79
v2 1 0 273.77 202.74 456.43 0.8
v2 2 0 275.3 202.67 462.07 26.81
v1 4 2 369.05 247.83 680.77 33.35
v1 5 2 376.68 254.46 690.95 35.2
v2 3 1 433.62 286.17 812.8 14.24
v1 3 1 444.15 291.42 836.88 0.79
