Tiles con borde mas compatible con la base v4-v7
sheet col row overall edge edge_var center_delta
v4 0 0 15.61 0.0 52.04 9.46
v4 1 0 23.17 0.0 77.23 7.05
v8 1 0 44.41 29.69 78.75 11.16
v4 0 1 51.99 38.23 84.1 14.01
v4 4 0 55.74 46.51 77.28 18.81
v7 3 1 59.91 30.87 127.69 32.7
v4 3 1 62.38 46.58 99.25 7.62
v7 2 1 64.59 45.05 110.17 54.25
v5 3 1 71.74 56.36 107.64 11.33
v5 0 1 71.95 56.72 107.48 17.86
v8 1 2 74.89 51.91 128.51 61.3
v7 1 0 75.24 0.0 250.8 5.44
v7 1 1 75.3 57.19 117.54 38.14
v4 4 1 80.11 56.01 136.32 61.95
v7 2 0 80.16 26.27 205.89 22.29
v4 2 1 82.34 46.37 166.27 31.95
v5 0 2 85.26 73.82 111.96 63.35
v5 5 0 86.16 54.09 161.0 50.18
v5 4 0 86.58 66.89 132.52 63.9
v8 2 2 89.19 63.28 149.66 43.05
v4 3 0 92.28 78.3 124.91 126.54
v7 0 0 92.92 0.0 309.74 5.47
v5 2 0 95.21 65.05 165.58 53.93
v8 3 1 95.56 68.0 159.85 16.6
v6 2 2 96.68 53.38 197.72 77.23
v6 3 1 96.91 57.47 188.92 53.94
v8 1 1 100.02 69.61 170.99 27.89
v7 3 0 100.07 33.89 254.5 4.8
v7 4 1 101.71 78.69 155.42 47.2
v5 4 1 102.39 74.79 166.79 55.53
v7 4 2 104.41 82.24 156.14 31.0
v8 0 2 104.45 69.0 187.18 11.11
v4 1 1 107.07 110.78 98.41 40.96
v6 4 0 107.39 81.51 167.78 46.96
v6 5 0 108.92 48.64 249.58 29.37
v5 5 1 110.55 53.91 242.73 80.1
v6 1 2 112.32 104.06 131.6 42.61
v8 3 0 112.46 66.79 219.04 45.19
v4 5 0 112.87 77.23 196.05 40.7
v8 4 1 115.99 73.1 216.07 10.47
v3 0 0 116.44 80.23 200.91 16.09
v6 2 0 117.46 74.75 217.12 27.41
v8 2 0 117.97 81.41 203.29 15.83
v6 0 0 118.49 103.94 152.46 31.94
v6 5 1 120.77 81.09 213.35 75.29
v8 5 1 121.14 117.42 129.82 30.86
v7 5 1 124.86 85.93 215.7 57.03
v5 1 1 125.42 113.9 152.29 8.85
v3 2 1 125.96 84.67 222.3 36.6
v4 5 1 126.69 100.99 186.67 48.07
v6 0 1 127.96 84.59 229.14 20.83
v5 2 2 129.14 134.72 116.12 18.73
v4 4 2 130.95 111.1 177.26 11.48
v3 0 2 132.3 64.21 291.17 98.05
v7 5 2 132.61 151.96 87.45 10.47
v5 0 0 134.06 84.08 250.67 23.04
v5 3 2 136.73 125.95 161.88 8.25
v5 4 2 136.84 137.16 136.08 22.39
v6 4 2 137.55 112.77 195.38 28.09
v7 3 2 141.06 104.51 226.33 68.9
v7 2 2 141.56 121.62 188.11 125.99
v5 1 2 141.91 134.8 158.48 55.1
v3 4 1 144.67 101.52 245.35 57.39
v7 0 2 145.34 147.57 140.13 156.0
v3 1 0 145.72 84.1 289.5 31.81
v6 4 1 146.51 118.93 210.87 66.54
v4 3 2 146.51 140.39 160.79 8.43
v8 0 1 147.11 128.83 189.76 31.9
v8 5 2 148.58 161.52 118.38 35.91
v6 3 0 148.97 123.61 208.15 29.61
v5 1 0 150.33 112.74 238.02 23.56
v8 2 1 150.65 135.55 185.89 48.6
v6 1 1 156.44 134.87 206.76 27.2
v5 3 0 159.53 120.5 250.6 27.39
v3 3 2 160.96 107.91 284.74 24.15
v6 3 2 161.69 145.35 199.81 8.38
v6 1 0 161.82 120.13 259.1 120.17
v8 5 0 162.71 120.85 260.37 8.73
v3 2 2 163.66 116.32 274.11 45.13
v4 1 2 165.03 142.45 217.71 65.41
v8 4 0 165.07 124.08 260.7 67.37
v7 4 0 166.78 144.22 219.41 22.55
v8 0 0 169.72 142.07 234.23 46.22
v3 5 2 171.45 198.78 107.68 59.5
v7 0 1 171.92 153.53 214.84 66.38
v4 2 2 172.25 135.86 257.16 78.52
v7 1 2 172.56 174.82 167.28 155.54
v3 3 0 174.26 134.97 265.93 66.94
v3 0 1 176.31 120.25 307.1 34.01
v3 2 0 176.44 125.1 296.23 21.85
v8 4 2 180.47 175.91 191.12 51.87
v3 1 1 181.07 148.39 257.32 53.75
v6 2 1 181.69 184.3 175.62 126.48
v6 0 2 183.1 170.3 212.95 73.2
v4 2 0 183.83 177.99 197.43 164.06
v5 5 2 186.35 170.18 224.08 25.04
v3 5 1 193.91 169.51 250.85 111.75
v3 4 0 196.85 149.0 308.48 35.44
v4 0 2 198.11 200.84 191.74 7.97
v7 5 0 198.46 208.67 174.64 18.29
v6 5 2 199.28 171.94 263.07 84.19
v5 2 1 199.4 180.19 244.23 101.67
v3 5 0 203.42 126.19 383.64 34.29
v3 3 1 206.62 186.77 252.94 84.99
v3 4 2 208.42 184.67 263.82 74.02
v8 3 2 211.28 215.37 201.72 41.79
v3 1 2 223.12 280.85 88.41 79.69
v4 5 2 293.55 280.91 323.06 79.71
